=== Logs for Service: ingress-nginx-controller (Namespace: ingress-nginx) ===
=== Date: Sun Apr  5 20:30:59 UTC 2026 ===
=== Selector: app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx ===

[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:05:31.023763       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:05:31.023819       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:05:31.023943       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:05:31.024615       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859298       7 controller.go:1451] Unexpected error validating SSL certificate "kubernetes-dashboard/ka0s-wildcard-tls" for server "dashboard.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859405       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859471       7 controller.go:1451] Unexpected error validating SSL certificate "itop/ka0s-wildcard-tls" for server "itsm.ka0s.io": x509: certificate relies on legacy Common Name field, use SANs instead
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859524       7 controller.go:1452] Validating certificate against DNS names. This will be deprecated in a future version
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859614       7 controller.go:1437] Error getting SSL certificate "metabase/metabase-tls": local SSL certificate metabase/metabase-tls was not found. Using default certificate
[pod/ingress-nginx-controller-5c78d86944-5ld5d/controller] W0405 20:06:44.859691       7 controller.go:1437] Error getting SSL certificate "docs-portal/docs-ka0s-tls": local SSL certificate docs-portal/docs-ka0s-tls was not found. Using default certificate
